                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87206,                0.60333,                0.97369,                0.97961,                0.99978,                  0.995,                0.69165,                 1.2446,                0.55298,                 1.0984,             0.00042081,             0.00042081,             0.00042081
                     36,                0.87251,                0.61452,                0.97861,                0.96423,                0.99111,                 0.9921,                0.59223,                 1.5729,                0.68715,                 1.2715,             0.00041462,             0.00041462,             0.00041462
                     37,                 0.8834,                0.61579,                0.96972,                0.95802,                0.99384,                0.99219,                0.61357,                 1.5126,                0.66046,                 1.2348,             0.00040844,             0.00040844,             0.00040844
                     38,                 0.8687,                0.58496,                0.96503,                0.97743,                0.98655,                0.99393,                0.68645,                 1.2324,                0.55497,                 1.1015,             0.00040225,             0.00040225,             0.00040225
                     39,                 0.8785,                0.58874,                0.97972,                0.97169,                0.98705,                0.99139,                0.64548,                 1.3608,                0.60929,                 1.1664,             0.00039606,             0.00039606,             0.00039606
                     40,                0.88418,                0.60427,                0.96692,                0.96672,                 0.9953,                0.99033,                0.67809,                  1.315,                0.59042,                 1.1258,             0.00038988,             0.00038988,             0.00038988
                     41,                0.85633,                 0.5803,                0.96888,                0.98264,                      1,                  0.995,                 0.6954,                 1.2438,                0.54043,                 1.1403,             0.00038369,             0.00038369,             0.00038369
                     42,                0.85934,                0.58649,                0.96775,                0.96114,                0.97455,                0.99018,                0.63605,                 1.4143,                0.64496,                 1.1869,              0.0003775,              0.0003775,              0.0003775
                     43,                0.85772,                0.58532,                0.95976,                 0.9786,                0.98685,                0.99219,                0.62268,                 1.4836,                0.63261,                 1.2068,             0.00037131,             0.00037131,             0.00037131
                     44,                0.85979,                0.58628,                0.95954,                0.96902,                0.99097,                0.99223,                 0.6119,                 1.4976,                0.64668,                 1.2286,             0.00036513,             0.00036513,             0.00036513
                     45,                0.86044,                 0.5851,                0.96915,                 0.9812,                0.99476,                  0.995,                 0.6901,                 1.2144,                0.54832,                 1.0777,             0.00035894,             0.00035894,             0.00035894
                     46,                0.84068,                0.55711,                0.96874,                0.98265,                0.99743,                  0.995,                0.69481,                 1.1936,                0.53154,                 1.0711,             0.00035275,             0.00035275,             0.00035275
                     47,                0.87767,                 0.5835,                0.96608,                0.97929,                0.98712,                0.99136,                0.65548,                 1.3401,                0.56876,                 1.1463,             0.00034656,             0.00034656,             0.00034656
                     48,                0.85923,                0.56831,                0.97088,                0.97531,                0.98567,                0.99043,                0.57706,                 1.5505,                0.64367,                 1.2781,             0.00034038,             0.00034038,             0.00034038
                     49,                0.86988,                0.56109,                0.96603,                0.97787,                0.99205,                  0.992,                0.60993,                 1.4938,                0.60883,                 1.2262,             0.00033419,             0.00033419,             0.00033419
                     50,                0.83101,                0.55144,                0.95268,                0.96823,                0.98959,                0.99193,                 0.6174,                 1.4575,                0.59835,                 1.2152,               0.000328,               0.000328,               0.000328
                     51,                0.82881,                0.53563,                0.95115,                 0.9796,                0.99169,                0.99153,                0.63329,                 1.4516,                0.58649,                 1.2176,             0.00032181,             0.00032181,             0.00032181
                     52,                0.84333,                0.55625,                0.95986,                0.97838,                 0.9958,                0.99205,                0.65791,                 1.3593,                0.57531,                 1.1548,             0.00031562,             0.00031562,             0.00031562
                     53,                0.80835,                0.54163,                0.95176,                0.97941,                      1,                  0.995,                0.69782,                 1.1927,                0.52274,                 1.0751,             0.00030944,             0.00030944,             0.00030944
                     54,                0.83117,                0.52947,                0.96679,                0.98094,                      1,                  0.995,                0.70268,                 1.2022,                0.51583,                 1.0936,             0.00030325,             0.00030325,             0.00030325
                     55,                0.80361,                0.53678,                0.93739,                0.97138,                0.99718,                 0.9917,                0.65826,                 1.3297,                0.56552,                 1.1548,             0.00029706,             0.00029706,             0.00029706
                     56,                0.84042,                0.53747,                 0.9508,                 0.9815,                0.99201,                 0.9917,                0.59175,                 1.5389,                0.61586,                  1.269,             0.00029088,             0.00029088,             0.00029088
                     57,                0.83398,                0.53157,                0.94976,                0.97591,                0.99472,                0.99191,                0.64968,                 1.2997,                0.55521,                 1.1323,             0.00028469,             0.00028469,             0.00028469
                     58,                0.80287,                0.53053,                0.94791,                0.97918,                0.99612,                0.99185,                0.66529,                 1.2934,                0.55113,                 1.1274,              0.0002785,              0.0002785,              0.0002785
                     59,                0.84074,                0.53318,                0.96301,                0.98573,                0.99339,                  0.995,                0.69703,                 1.1916,                 0.5083,                 1.0805,             0.00027231,             0.00027231,             0.00027231
                     60,                0.82247,                0.52191,                0.94211,                0.98289,                0.99762,                0.99178,                0.67989,                 1.2329,                0.52008,                 1.1125,             0.00026613,             0.00026613,             0.00026613
                     61,                0.83194,                0.53661,                0.94815,                0.98038,                0.99762,                0.99192,                0.67532,                 1.2483,                0.51359,                 1.1173,             0.00025994,             0.00025994,             0.00025994
                     62,                0.80736,                0.52214,                0.94219,                 0.9689,                0.99084,                0.99321,                0.70108,                 1.2047,                0.50014,                 1.0928,             0.00025375,             0.00025375,             0.00025375
                     63,                0.79791,                0.52127,                0.94581,                 0.9777,                0.99762,                0.99315,                 0.6761,                 1.2668,                0.51655,                 1.1246,             0.00024756,             0.00024756,             0.00024756
                     64,                0.78355,                0.50541,                0.94259,                0.98272,                0.99318,                  0.993,                 0.6562,                 1.2966,                0.52606,                 1.1483,             0.00024137,             0.00024137,             0.00024137
                     65,                 0.8163,                0.51643,                0.95418,                0.98139,                0.99762,                0.99307,                 0.6696,                 1.2714,                0.51364,                 1.1343,             0.00023519,             0.00023519,             0.00023519
                     66,                0.79489,                0.50947,                0.94414,                0.97302,                0.99762,                0.99267,                0.66853,                 1.2582,                0.51698,                 1.1232,               0.000229,               0.000229,               0.000229
                     67,                0.80572,                0.50729,                0.93089,                0.97555,                0.99762,                0.99281,                0.68001,                   1.25,                0.51495,                 1.1186,             0.00022281,             0.00022281,             0.00022281
                     68,                0.80092,                0.50466,                0.93964,                0.98206,                0.99762,                0.99328,                0.67387,                  1.255,                0.51077,                 1.1193,             0.00021662,             0.00021662,             0.00021662
                     69,                0.78574,                0.51103,                0.93165,                0.98067,                0.99762,                0.99335,                0.68186,                  1.244,                0.50654,                 1.1155,             0.00021044,             0.00021044,             0.00021044
                     70,                0.80589,                 0.5038,                0.94528,                0.98655,                 0.9957,                0.99334,                0.68387,                 1.2319,                0.50332,                 1.1213,             0.00020425,             0.00020425,             0.00020425
                     71,                0.78168,                0.49714,                 0.9393,                0.98316,                0.99734,                0.99313,                0.68396,                 1.2404,                0.49976,                  1.119,             0.00019806,             0.00019806,             0.00019806
                     72,                 0.7744,                 0.4909,                0.93381,                0.97348,                0.99762,                0.99335,                0.69079,                 1.2284,                 0.4981,                 1.1116,             0.00019188,             0.00019188,             0.00019188
                     73,                0.79199,                0.49743,                0.94325,                0.97593,                0.99762,                0.99342,                 0.7003,                 1.1757,                0.47967,                 1.0859,             0.00018569,             0.00018569,             0.00018569
                     74,                0.80751,                0.50627,                0.93683,                0.98434,                0.99702,                  0.995,                0.71752,                 1.1378,                 0.4699,                 1.0597,              0.0001795,              0.0001795,              0.0001795
                     75,                0.80173,                0.50073,                0.95067,                0.98458,                      1,                  0.995,                0.71218,                 1.1576,                0.47186,                 1.0728,             0.00017331,             0.00017331,             0.00017331
                     76,                0.78718,                0.50466,                0.93789,                0.98155,                0.99956,                  0.995,                 0.7118,                 1.1592,                0.46605,                 1.0732,             0.00016713,             0.00016713,             0.00016713
                     77,                  0.771,                0.48512,                0.93159,                0.98349,                      1,                  0.995,                0.71152,                 1.1572,                0.46736,                 1.0743,             0.00016094,             0.00016094,             0.00016094
                     78,                0.78589,                0.49243,                0.93975,                0.98197,                0.99762,                0.99321,                 0.7016,                 1.1925,                0.47923,                 1.0978,             0.00015475,             0.00015475,             0.00015475
                     79,                0.78749,                0.49373,                0.92942,                0.98232,                0.99534,                0.99273,                0.69951,                 1.2095,                0.48208,                 1.1002,             0.00014856,             0.00014856,             0.00014856
                     80,                0.77971,                0.48732,                0.93702,                0.98378,                0.99762,                 0.9928,                0.70019,                 1.2026,                0.47948,                 1.0986,             0.00014237,             0.00014237,             0.00014237
                     81,                0.76128,                0.48101,                0.93324,                0.98384,                0.99762,                0.99314,                0.69498,                 1.2052,                0.48493,                 1.1042,             0.00013619,             0.00013619,             0.00013619
                     82,                0.77776,                0.49172,                0.93728,                 0.9785,                0.99762,                 0.9924,                0.65671,                 1.3166,                0.51408,                 1.1601,                0.00013,                0.00013,                0.00013
                     83,                0.77233,                0.49301,                0.93702,                0.98487,                0.99762,                0.99225,                0.66897,                 1.2775,                0.50296,                 1.1375,             0.00012381,             0.00012381,             0.00012381
                     84,                0.74893,                0.47057,                0.92609,                0.98697,                0.99641,                0.99239,                0.67259,                 1.2355,                 0.4948,                 1.1158,             0.00011763,             0.00011763,             0.00011763
                     85,                0.75779,                0.47496,                0.93476,                0.98465,                0.99535,                0.99232,                0.66217,                 1.2791,                0.50114,                 1.1468,             0.00011144,             0.00011144,             0.00011144
                     86,                0.78412,                0.48423,                0.93795,                0.98166,                0.99762,                0.99185,                0.63557,                 1.3503,                0.51569,                 1.1907,             0.00010525,             0.00010525,             0.00010525
                     87,                0.74821,                0.47488,                0.92055,                0.97988,                0.99518,                0.99192,                0.62907,                 1.3732,                0.52038,                 1.1976,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.75499,                0.47338,                0.92456,                0.97217,                0.99762,                0.99192,                0.68387,                  1.244,                0.49094,                 1.1218,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                 0.7571,                0.47558,                0.93366,                0.97872,                0.99762,                0.99199,                0.68394,                 1.2451,                0.49174,                 1.1233,             8.6688e-05,             8.6688e-05,             8.6688e-05
